,_id,l_id,r_id,l_title,l_salary,l_company,l_address,r_title,r_maxSalary,r_company,r_address
13,62,105,353,Java Developer (Upto 2000 NET),"500 - 2,000 USD",Giao Hàng Tiết Kiệm,"['Tòa nhà VTV, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, thành phố Hà Nội, Nam Tu Liem, Ha Noi']",PHP Developer (Upto 2000$ Net) [HN],2000,Công Ty Cổ Phần Giao Hàng Tiết Kiệm,"Hà Nội, Vietnam"
14,63,395,353,Frontend Developer (Upto 2000$ NET),"500 - 2,000 USD",Giao Hàng Tiết Kiệm,"['Tòa nhà VTV, số 8 Phạm Hùng, phường Mễ Trì, quận Nam Từ Liêm, thành phố Hà Nội, Nam Tu Liem, Ha Noi']",PHP Developer (Upto 2000$ Net) [HN],2000,Công Ty Cổ Phần Giao Hàng Tiết Kiệm,"Hà Nội, Vietnam"
15,68,391,477,Senior Software Development Manager,You'll love it,ASCEND,"['165 Thai Ha, Dong Da, Ha Noi']",Senior Business Development Manager ( Mandarin/ English Fluency),0,Greenyellow,"Hà Nội, Vietnam"
16,71,572,594,Software Engineer (Java/.NET/PHP/Python),"600 - 1,200 usd",SystemGear Vietnam,"['180 Lý Chính Thắng, District 3, Ho Chi Minh', 'số 28 Phạm Hùng, Mỹ Đình 1, Nam Tu Liem, Ha Noi']",Pre-Sales Software Engineer in Hanoi,0,"Fujifilm Business Innovation Vietnam Co., Ltd.","14 Floor , 9 Dao Duy Anh street, Dong Da district, Hanoi, Vietnam"
17,72,94,599,Trưởng nhóm vận hành An Ninh Thông Tin,You'll love it,Techcombank,"['C5 Building Tower, D’Capitale Tower, 119 Tran Duy Hung, Cau Giay, Ha Noi']",Trưởng Nhóm Giám Sát An Ninh Thông Tin và Kiểm Soát Vận Hành An Ninh Thông Tin,0,Techcombank,"Techcombank Tower -191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
18,73,312,606,Business Analyst,Up to 20m vnd gross,Avenue,"['Garden Plaza 1, District 7, Ho Chi Minh', 'Floor 7th, MacPlaza, 10 Tran Phu Street, Ha Dong, Ha Noi']",Tuyển Business Analyst – BA,0,Công Ty Cổ Phần Bkav,Đường Dương Đình Nghệ Khu đô thị Yên Hòa Cầu Giấy Hà Nội
19,87,537,786,"20 Junior Java Dev (Spring, AngularJS)",Up to $1500,VNPT Technology,"['124 Hoàng Quốc Việt, Cau Giay, Ha Noi']","30 Java Dev (Spring, Mysql, AngularJS)",1500,Công Ty Cổ Phần Công Nghệ Công Nghiệp Bưu Chính Viễn Thông - VNPT Technology,"124 Hoàng Quốc Việt, Cổ Nhuế 1, Cầu Giấy, Hanoi, Vietnam"
20,92,353,890,Frontend Developer,"500 - 2,300 USD",Vietkentech,"['126 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam, District 3, Ho Chi Minh', 'Cách công viên Cầu Giấy 300m, Cau Giay, Ha Noi']",Frontend Developer (VinID/ Vinshop),0,One Mount Group,"Times City, Đường Minh Khai, Vinhomes Times City, Vinh Tuy, Hai Bà Trưng District, Hanoi, Vietnam"
21,93,163,926,20 Software Devs–Signing bonus up to 20M,You'll love it,FPT Software,"['FPT Cau Giay Building, Cau Giay, Ha Noi', 'Keang Nam – IVS, Hà Nội, Nam Tu Liem, Ha Noi']",20 Software Developers – Signing Bonus up to 25M,0,FPT Software,"17 Phố Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Vietnam"
22,95,312,979,Business Analyst,Up to 20m vnd gross,Avenue,"['Garden Plaza 1, District 7, Ho Chi Minh', 'Floor 7th, MacPlaza, 10 Tran Phu Street, Ha Dong, Ha Noi']",IT Business Analyst,0,Techcombank,"Tòa nhà Techcombank, 119 Trần Duy Hưng, Cầu Giấy, Hà Nội"
